Sample:float;Data:float
"0.0";"2149.9814453125"
"1.0";"1990.816650390625"
"2.0";"1931.68994140625"
"3.0";"2004.8402099609375"
"4.0";"2085.4296875"
"5.0";"2007.185791015625"
"6.0";"1958.745361328125"
"7.0";"2067.748046875"
"8.0";"2054.69677734375"
"9.0";"1881.262451171875"
"10.0";"2087.75439453125"
"11.0";"2255.861083984375"
"12.0";"2033.10400390625"
"13.0";"1864.79443359375"
"14.0";"2029.8719482421875"
"15.0";"2111.92578125"
"16.0";"2077.884521484375"
"17.0";"1912.420166015625"
"18.0";"2030.352783203125"
"19.0";"2098.660400390625"
"20.0";"2157.568603515625"
"21.0";"1975.6077880859375"
"22.0";"1943.9544677734375"
"23.0";"2027.521728515625"
"24.0";"2081.71484375"
"25.0";"2009.0628662109375"
"26.0";"1886.3917236328125"
"27.0";"2065.5546875"
"28.0";"2147.88232421875"
"29.0";"1974.0809326171875"
"30.0";"2070.991455078125"
"31.0";"2037.9305419921875"
"32.0";"2150.25048828125"
"33.0";"1903.2161865234375"
"34.0";"1958.1717529296875"
"35.0";"2235.947265625"
"36.0";"1955.8291015625"
"37.0";"1877.9449462890625"
"38.0";"1819.4864501953125"
"39.0";"2250.329345703125"
"40.0";"2045.137939453125"
"41.0";"1754.8658447265625"
"42.0";"2006.3751220703125"
"43.0";"2261.538330078125"
"44.0";"2100.014892578125"
"45.0";"1948.2158203125"
"46.0";"1971.20654296875"
"47.0";"2047.7901611328125"
"48.0";"2021.281494140625"
"49.0";"2063.83349609375"
"50.0";"2006.272216796875"
"51.0";"2110.154296875"
"52.0";"1931.403564453125"
"53.0";"1930.930908203125"
"54.0";"2000.576171875"
"55.0";"1938.447265625"
"56.0";"1865.5902099609375"
"57.0";"1955.543701171875"
"58.0";"1971.693359375"
"59.0";"1990.347900390625"
"60.0";"1885.340087890625"
"61.0";"1972.8338623046875"
"62.0";"1972.06591796875"
"63.0";"2078.610107421875"
"64.0";"1910.9879150390625"
"65.0";"2031.663330078125"
"66.0";"2162.768310546875"
"67.0";"1914.6961669921875"
"68.0";"1859.6343994140625"
"69.0";"1907.45361328125"
"70.0";"2037.13916015625"
"71.0";"2000.476806640625"
"72.0";"1939.4822998046875"
"73.0";"1864.039306640625"
"74.0";"2042.7626953125"
"75.0";"2057.55419921875"
"76.0";"1864.7366943359375"
"77.0";"1906.7017822265625"
"78.0";"1882.987060546875"
"79.0";"1978.087890625"
"80.0";"1922.0201416015625"
"81.0";"2012.49462890625"
"82.0";"1928.89404296875"
"83.0";"1841.760009765625"
"84.0";"1998.7462158203125"
"85.0";"2036.964111328125"
"86.0";"1901.1334228515625"
"87.0";"2016.309326171875"
"88.0";"1988.58837890625"
"89.0";"1937.750732421875"
"90.0";"1855.046142578125"
"91.0";"2023.6282958984375"
"92.0";"1979.54638671875"
"93.0";"1638.695556640625"
"94.0";"2092.526611328125"
"95.0";"2184.18505859375"
"96.0";"2243.63671875"
"97.0";"1688.0653076171875"
"98.0";"1841.533447265625"
"99.0";"1986.9908447265625"
"100.0";"2262.0693359375"
"101.0";"1984.136962890625"
"102.0";"1950.183349609375"
"103.0";"1888.3480224609375"
"104.0";"2023.7974853515625"
"105.0";"1801.24658203125"
"106.0";"2016.9326171875"
"107.0";"2056.78564453125"
"108.0";"2136.59423828125"
"109.0";"1863.95849609375"
"110.0";"1910.364013671875"
"111.0";"1955.6800537109375"
"112.0";"2184.799560546875"
"113.0";"2026.921875"
"114.0";"1883.34619140625"
"115.0";"2082.73876953125"
"116.0";"2184.548095703125"
"117.0";"2052.546142578125"
"118.0";"1790.1173095703125"
"119.0";"1934.9742431640625"
"120.0";"2213.630859375"
"121.0";"2025.359130859375"
"122.0";"1901.736328125"
"123.0";"2049.33203125"
"124.0";"1933.0838623046875"
"125.0";"2009.174072265625"
"126.0";"2180.673095703125"
"127.0";"1993.591552734375"
"128.0";"1929.367919921875"
"129.0";"1975.1767578125"
"130.0";"2038.5731201171875"
"131.0";"2036.4398193359375"
"132.0";"2113.5966796875"
"133.0";"1928.11083984375"
"134.0";"1993.343505859375"
"135.0";"1954.1492919921875"
"136.0";"2086.468017578125"
"137.0";"2088.354736328125"
"138.0";"1821.3397216796875"
"139.0";"2032.5596923828125"
"140.0";"2176.356689453125"
"141.0";"2172.77587890625"
"142.0";"1961.3568115234375"
"143.0";"1977.9864501953125"
"144.0";"2361.198974609375"
"145.0";"1992.8865966796875"
"146.0";"1835.408935546875"
"147.0";"1903.66650390625"
"148.0";"2213.419189453125"
"149.0";"2072.811279296875"
"150.0";"1856.718505859375"
"151.0";"1967.256103515625"
"152.0";"2088.6513671875"
"153.0";"2158.62158203125"
"154.0";"1890.14208984375"
"155.0";"2006.908203125"
"156.0";"2064.59228515625"
"157.0";"2106.93505859375"
"158.0";"2001.197265625"
"159.0";"1981.9954833984375"
"160.0";"2114.651123046875"
