Sample:float;Data:float
"0.0";"2070.158447265625"
"1.0";"2082.885986328125"
"2.0";"2021.3345947265625"
"3.0";"2039.684326171875"
"4.0";"2088.261474609375"
"5.0";"2021.356689453125"
"6.0";"2006.6748046875"
"7.0";"2025.81298828125"
"8.0";"2019.7882080078125"
"9.0";"2036.4713134765625"
"10.0";"1985.1861572265625"
"11.0";"1998.22314453125"
"12.0";"2009.837158203125"
"13.0";"2046.8421630859375"
"14.0";"2006.293701171875"
"15.0";"1985.484130859375"
"16.0";"2033.2557373046875"
"17.0";"2058.42822265625"
"18.0";"2047.805419921875"
"19.0";"1992.7708740234375"
"20.0";"2039.845703125"
"21.0";"2061.120849609375"
"22.0";"1980.5191650390625"
"23.0";"1964.784912109375"
"24.0";"1995.178466796875"
"25.0";"2094.345703125"
"26.0";"2076.111572265625"
"27.0";"1992.3046875"
"28.0";"1966.836669921875"
"29.0";"2039.87451171875"
"30.0";"2005.50732421875"
"31.0";"1954.8720703125"
"32.0";"1980.4837646484375"
"33.0";"1994.9102783203125"
"34.0";"1988.2080078125"
"35.0";"1962.285888671875"
"36.0";"1919.2572021484375"
"37.0";"2059.3359375"
"38.0";"2055.623046875"
"39.0";"2025.8673095703125"
"40.0";"1914.40576171875"
"41.0";"2041.4498291015625"
"42.0";"2081.446533203125"
"43.0";"1981.5128173828125"
"44.0";"2021.4261474609375"
"45.0";"2072.1767578125"
"46.0";"1932.5789794921875"
"47.0";"1942.5390625"
"48.0";"1852.802978515625"
"49.0";"1973.904052734375"
"50.0";"1921.41552734375"
"51.0";"2018.5396728515625"
"52.0";"1920.696533203125"
"53.0";"1954.900146484375"
"54.0";"2012.7325439453125"
"55.0";"1987.7734375"
"56.0";"1956.844482421875"
"57.0";"1950.836181640625"
"58.0";"1958.76025390625"
"59.0";"1979.03662109375"
"60.0";"1926.8240966796875"
"61.0";"1964.837890625"
"62.0";"1979.37060546875"
"63.0";"2007.25732421875"
"64.0";"1955.99658203125"
"65.0";"1907.4193115234375"
"66.0";"2012.8660888671875"
"67.0";"2071.142333984375"
"68.0";"1958.9447021484375"
"69.0";"1876.123291015625"
"70.0";"2020.3084716796875"
"71.0";"2038.58251953125"
"72.0";"1942.0037841796875"
"73.0";"1878.67626953125"
"74.0";"1982.36767578125"
"75.0";"2054.59326171875"
"76.0";"2039.659423828125"
"77.0";"2046.21484375"
"78.0";"2024.7923583984375"
"79.0";"1968.0845947265625"
"80.0";"1973.2242431640625"
"81.0";"1988.2027587890625"
"82.0";"2015.197998046875"
"83.0";"1959.972900390625"
