Sample:float;Data:float
"0.0";"-5.637325286865234"
"1.0";"-6.1199870109558105"
"2.0";"-7.445262908935547"
"3.0";"-8.53237533569336"
"4.0";"-8.141480445861816"
"5.0";"-9.489872932434082"
"6.0";"-10.213146209716797"
"7.0";"-10.137539863586426"
"8.0";"-9.845988273620605"
"9.0";"-10.287171363830566"
"10.0";"-11.146688461303711"
"11.0";"-10.569905281066895"
"12.0";"-10.213284492492676"
"13.0";"-11.058470726013184"
"14.0";"-10.857892036437988"
"15.0";"-10.335433959960938"
"16.0";"-10.814043998718262"
"17.0";"-11.076837539672852"
"18.0";"-10.37783145904541"
"19.0";"-9.79822826385498"
"20.0";"-10.413776397705078"
"21.0";"-10.608315467834473"
"22.0";"-10.238654136657715"
"23.0";"-10.150002479553223"
"24.0";"-10.202197074890137"
"25.0";"-9.846723556518555"
"26.0";"-9.662496566772461"
"27.0";"-9.72407341003418"
"28.0";"-9.737247467041016"
"29.0";"-9.333722114562988"
"30.0";"-9.123909950256348"
"31.0";"-9.103264808654785"
"32.0";"-9.175284385681152"
"33.0";"-9.150485038757324"
"34.0";"-8.600211143493652"
"35.0";"-8.465006828308105"
"36.0";"-8.745774269104004"
"37.0";"-8.505717277526855"
"38.0";"-8.277910232543945"
"39.0";"-8.525374412536621"
"40.0";"-8.448956489562988"
"41.0";"-7.578376770019531"
"42.0";"-7.894028186798096"
"43.0";"-8.120706558227539"
"44.0";"-8.175827980041504"
"45.0";"-7.08811616897583"
"46.0";"-7.252003192901611"
"47.0";"-7.636038303375244"
"48.0";"-6.960011005401611"
"49.0";"-6.991346836090088"
"50.0";"-6.760499954223633"
"51.0";"-6.186483860015869"
"52.0";"-6.15729284286499"
"53.0";"-5.86901330947876"
"54.0";"-5.337621688842773"
"55.0";"-5.357391357421875"
"56.0";"-4.797297954559326"
"57.0";"-4.576437473297119"
"58.0";"-3.7703330516815186"
"59.0";"-3.386997938156128"
"60.0";"-3.15785551071167"
"61.0";"-2.8077595233917236"
"62.0";"-2.128331422805786"
"63.0";"-1.4781087636947632"
"64.0";"-1.1910533905029297"
"65.0";"-0.6185131072998047"
"66.0";"-0.3999817967414856"
"67.0";"-0.186134934425354"
