Sample:float;Data:float
"0.0";"-693.0991821289062"
"1.0";"-916.7172241210938"
"2.0";"-826.0861206054688"
"3.0";"-730.8391723632812"
"4.0";"-718.192138671875"
"5.0";"-921.803955078125"
"6.0";"-781.73779296875"
"7.0";"-586.1160278320312"
"8.0";"-835.7949829101562"
"9.0";"-831.683837890625"
"10.0";"-498.5942077636719"
"11.0";"-791.5191040039062"
"12.0";"-942.9598388671875"
"13.0";"-383.0408935546875"
"14.0";"-565.1339721679688"
"15.0";"-1065.3016357421875"
"16.0";"-868.416259765625"
"17.0";"-519.6334838867188"
"18.0";"-753.8095703125"
"19.0";"-933.7426147460938"
"20.0";"-971.4042358398438"
"21.0";"-728.5266723632812"
"22.0";"-690.7203979492188"
"23.0";"-666.8281860351562"
"24.0";"-933.728759765625"
"25.0";"-669.394287109375"
"26.0";"-853.5504760742188"
"27.0";"-670.02197265625"
"28.0";"-520.3648681640625"
"29.0";"-856.3864135742188"
"30.0";"-889.4456787109375"
"31.0";"-555.356689453125"
"32.0";"-676.532470703125"
"33.0";"-819.8477783203125"
"34.0";"-669.9144287109375"
"35.0";"-817.220947265625"
"36.0";"-664.8726806640625"
"37.0";"-643.7340087890625"
"38.0";"-861.4378051757812"
"39.0";"-751.2771606445312"
"40.0";"-658.67333984375"
"41.0";"-705.5482177734375"
"42.0";"-878.99609375"
"43.0";"-729.3721313476562"
"44.0";"-807.2073974609375"
"45.0";"-675.279052734375"
"46.0";"-803.7982788085938"
"47.0";"-829.6756591796875"
"48.0";"-748.5154418945312"
"49.0";"-676.6405639648438"
"50.0";"-743.1679077148438"
"51.0";"-838.8411865234375"
"52.0";"-614.5404052734375"
"53.0";"-674.59033203125"
"54.0";"-829.299560546875"
"55.0";"-762.4239501953125"
"56.0";"-654.843017578125"
"57.0";"-815.9693603515625"
"58.0";"-745.7095947265625"
"59.0";"-699.1044921875"
"60.0";"-708.9219970703125"
"61.0";"-763.21044921875"
"62.0";"-693.6653442382812"
"63.0";"-758.701171875"
"64.0";"-801.345703125"
"65.0";"-586.73046875"
"66.0";"-581.3572998046875"
"67.0";"-960.9366455078125"
"68.0";"-823.1531372070312"
"69.0";"-475.5250244140625"
"70.0";"-661.196044921875"
"71.0";"-917.0565795898438"
"72.0";"-596.2764892578125"
"73.0";"-689.6862182617188"
"74.0";"-693.3404541015625"
"75.0";"-740.9007568359375"
"76.0";"-681.8505859375"
"77.0";"-753.3640747070312"
"78.0";"-773.6658935546875"
"79.0";"-672.963134765625"
"80.0";"-915.0083618164062"
"81.0";"-668.4844360351562"
"82.0";"-611.9292602539062"
"83.0";"-784.4965209960938"
"84.0";"-1010.8974609375"
"85.0";"-385.1421813964844"
"86.0";"-509.6020202636719"
"87.0";"-666.2265014648438"
"88.0";"-1075.0867919921875"
"89.0";"-546.4816284179688"
"90.0";"-441.8428039550781"
"91.0";"-753.3897094726562"
"92.0";"-875.6149291992188"
"93.0";"-668.4476928710938"
"94.0";"-576.417724609375"
"95.0";"-726.6957397460938"
"96.0";"-967.2464599609375"
"97.0";"-665.3069458007812"
"98.0";"-570.394775390625"
"99.0";"-773.75390625"
"100.0";"-773.75390625"
"101.0";"-614.6654052734375"
"102.0";"-615.02001953125"
"103.0";"-859.9918212890625"
"104.0";"-938.3511352539062"
"105.0";"-609.216064453125"
"106.0";"-566.1986694335938"
"107.0";"-945.583251953125"
"108.0";"-676.9892578125"
