Sample:float;Data:float
"0.0";"-673.0458984375"
"1.0";"-926.646484375"
"2.0";"-561.9829711914062"
"3.0";"-757.05029296875"
"4.0";"-811.896484375"
"5.0";"-795.1239624023438"
"6.0";"-643.753173828125"
"7.0";"-738.5145263671875"
"8.0";"-670.51611328125"
"9.0";"-675.7471923828125"
"10.0";"-818.4730224609375"
"11.0";"-926.5468139648438"
"12.0";"-876.7999877929688"
"13.0";"-678.7864379882812"
"14.0";"-773.0827026367188"
"15.0";"-740.053955078125"
"16.0";"-776.4124755859375"
"17.0";"-596.1233520507812"
"18.0";"-778.0543823242188"
"19.0";"-654.435546875"
"20.0";"-663.0830078125"
"21.0";"-627.0113525390625"
"22.0";"-872.4029541015625"
"23.0";"-898.860595703125"
"24.0";"-476.0073547363281"
"25.0";"-722.9727172851562"
"26.0";"-875.3690185546875"
"27.0";"-830.199951171875"
"28.0";"-631.9622802734375"
"29.0";"-644.9647216796875"
"30.0";"-737.0948486328125"
"31.0";"-774.092529296875"
"32.0";"-668.7446899414062"
"33.0";"-689.6824340820312"
"34.0";"-742.8819580078125"
"35.0";"-780.9790649414062"
"36.0";"-731.864501953125"
"37.0";"-695.343017578125"
"38.0";"-761.4517211914062"
"39.0";"-754.7675170898438"
"40.0";"-729.5615844726562"
"41.0";"-753.6480102539062"
"42.0";"-809.6973876953125"
"43.0";"-682.3546752929688"
"44.0";"-744.8458251953125"
"45.0";"-745.8692626953125"
"46.0";"-766.8618774414062"
"47.0";"-806.8486938476562"
"48.0";"-674.4908447265625"
"49.0";"-668.5242919921875"
"50.0";"-803.5643310546875"
"51.0";"-697.9236450195312"
"52.0";"-664.3738403320312"
"53.0";"-728.6467895507812"
"54.0";"-770.2670288085938"
"55.0";"-804.305419921875"
"56.0";"-750.7633666992188"
"57.0";"-600.534912109375"
"58.0";"-657.2340698242188"
"59.0";"-662.1321411132812"
"60.0";"-752.3135375976562"
"61.0";"-784.9743041992188"
"62.0";"-726.6484375"
"63.0";"-840.6749877929688"
"64.0";"-795.149658203125"
"65.0";"-747.82763671875"
"66.0";"-810.7401733398438"
"67.0";"-792.3658447265625"
"68.0";"-806.001220703125"
