Sample:float;Data:float
"0.0";"-6.721923351287842"
"1.0";"-6.195709228515625"
"2.0";"-6.327815532684326"
"3.0";"-6.69188928604126"
"4.0";"-6.878709316253662"
"5.0";"-5.058665752410889"
"6.0";"-5.661271572113037"
"7.0";"-6.127622127532959"
"8.0";"-5.984668731689453"
"9.0";"-5.057811737060547"
"10.0";"-4.900699138641357"
"11.0";"-5.607179164886475"
"12.0";"-5.607179164886475"
"13.0";"-4.224802494049072"
"14.0";"-3.612252712249756"
"15.0";"-4.027835845947266"
"16.0";"-3.2810401916503906"
"17.0";"-2.3693981170654297"
"18.0";"-2.557676315307617"
"19.0";"-2.8277454376220703"
"20.0";"-2.1819427013397217"
"21.0";"-2.2014670372009277"
"22.0";"-1.4111531972885132"
"23.0";"-1.4111531972885132"
"24.0";"-1.2142295837402344"
"25.0";"-1.1012834310531616"
"26.0";"-0.4549446105957031"
"27.0";"0.3371836245059967"
"28.0";"-0.006913512945175171"
"29.0";"0.21341323852539062"
"30.0";"-0.22333908081054688"
"31.0";"1.5097930431365967"
"32.0";"1.9326629638671875"
"33.0";"2.483295440673828"
"34.0";"1.4490394592285156"
"35.0";"2.6334640979766846"
"36.0";"2.181492567062378"
"37.0";"2.84423565864563"
"38.0";"3.7855911254882812"
"39.0";"3.4353911876678467"
"40.0";"3.300206422805786"
"41.0";"4.165913105010986"
"42.0";"3.85625958442688"
"43.0";"4.29447603225708"
"44.0";"4.816253185272217"
"45.0";"5.207010746002197"
"46.0";"4.541934967041016"
"47.0";"4.871601104736328"
"48.0";"5.299459934234619"
"49.0";"6.528357028961182"
"50.0";"5.748216152191162"
"51.0";"6.325014591217041"
"52.0";"6.24865198135376"
"53.0";"6.474039554595947"
"54.0";"7.419532775878906"
"55.0";"7.009080410003662"
"56.0";"6.6674485206604"
"57.0";"6.986560821533203"
"58.0";"7.227741241455078"
"59.0";"7.442962646484375"
"60.0";"6.503365993499756"
"61.0";"7.001804351806641"
"62.0";"7.296703338623047"
"63.0";"7.738178253173828"
"64.0";"6.899350643157959"
"65.0";"6.992610931396484"
"66.0";"7.524606227874756"
"67.0";"7.127767086029053"
"68.0";"6.892589569091797"
"69.0";"6.811244964599609"
"70.0";"7.3375725746154785"
"71.0";"7.103929042816162"
"72.0";"7.7038092613220215"
"73.0";"6.883171081542969"
"74.0";"6.73525857925415"
"75.0";"6.744728088378906"
"76.0";"7.27129602432251"
"77.0";"6.357763767242432"
"78.0";"6.693238735198975"
"79.0";"6.191931247711182"
"80.0";"5.979345798492432"
"81.0";"5.580140590667725"
"82.0";"5.852264404296875"
"83.0";"5.4908270835876465"
"84.0";"5.04827880859375"
"85.0";"4.89227294921875"
"86.0";"4.813661098480225"
"87.0";"4.569385051727295"
"88.0";"4.38972282409668"
"89.0";"3.9090607166290283"
"90.0";"3.6898441314697266"
"91.0";"3.6134116649627686"
"92.0";"3.141254425048828"
"93.0";"2.9226913452148438"
"94.0";"2.389573335647583"
"95.0";"2.103571653366089"
"96.0";"2.0162670612335205"
"97.0";"1.9869892597198486"
"98.0";"1.2639567852020264"
"99.0";"0.9095840454101562"
"100.0";"0.8316802978515625"
"101.0";"0.6664028167724609"
"102.0";"0.23283958435058594"
"103.0";"-0.07874935865402222"
"104.0";"-0.3656044006347656"
"105.0";"-0.6669985055923462"
"106.0";"-1.0358123779296875"
"107.0";"-1.4345531463623047"
"108.0";"-1.7968305349349976"
"109.0";"-2.0534870624542236"
"110.0";"-1.8790397644042969"
"111.0";"-1.843414306640625"
"112.0";"-2.4738006591796875"
"113.0";"-3.293848752975464"
"114.0";"-3.4835524559020996"
"115.0";"-3.2399508953094482"
"116.0";"-3.6033694744110107"
"117.0";"-4.245077610015869"
"118.0";"-4.4478936195373535"
"119.0";"-4.636496067047119"
"120.0";"-4.800762176513672"
"121.0";"-4.967062473297119"
"122.0";"-5.365566253662109"
"123.0";"-5.4915642738342285"
"124.0";"-5.656269073486328"
"125.0";"-5.98117208480835"
"126.0";"-6.263003826141357"
"127.0";"-6.19247579574585"
"128.0";"-6.3657755851745605"
"129.0";"-6.650949478149414"
"130.0";"-6.951060771942139"
"131.0";"-6.915561676025391"
"132.0";"-6.905416965484619"
"133.0";"-7.216053009033203"
"134.0";"-7.434539318084717"
"135.0";"-7.158670902252197"
"136.0";"-7.1718292236328125"
"137.0";"-6.847560405731201"
"138.0";"-7.388943195343018"
"139.0";"-7.4153151512146"
"140.0";"-7.240248203277588"
"141.0";"-7.0895094871521"
"142.0";"-6.624501705169678"
"143.0";"-6.892408847808838"
"144.0";"-6.64129114151001"
"145.0";"-6.961574077606201"
"146.0";"-7.155738353729248"
"147.0";"-6.465739727020264"
"148.0";"-7.2503437995910645"
"149.0";"-7.079164028167725"
"150.0";"-7.020467281341553"
"151.0";"-6.4766316413879395"
"152.0";"-6.6365532875061035"
"153.0";"-6.470889568328857"
"154.0";"-7.006048202514648"
"155.0";"-6.303409576416016"
"156.0";"-6.019632816314697"
"157.0";"-5.169948101043701"
"158.0";"-5.542842864990234"
"159.0";"-5.086136341094971"
"160.0";"-5.308655261993408"
"161.0";"-4.988637447357178"
"162.0";"-4.040279865264893"
"163.0";"-4.524306774139404"
"164.0";"-4.596744060516357"
"165.0";"-3.708122968673706"
"166.0";"-3.0150439739227295"
"167.0";"-3.222412109375"
"168.0";"-2.8146579265594482"
"169.0";"-3.0275516510009766"
"170.0";"-1.819801926612854"
"171.0";"-2.4496681690216064"
"172.0";"-1.8044452667236328"
"173.0";"-1.5377782583236694"
"174.0";"-1.1749496459960938"
"175.0";"-1.168800950050354"
"176.0";"-0.7075780034065247"
"177.0";"-0.36344781517982483"
"178.0";"0.10510635375976562"
"179.0";"0.36377525329589844"
"180.0";"0.7245908975601196"
"181.0";"0.9309864044189453"
"182.0";"1.1110012531280518"
"183.0";"1.8966255187988281"
"184.0";"2.454622268676758"
"185.0";"2.007580518722534"
"186.0";"2.451941728591919"
"187.0";"2.7768237590789795"
"188.0";"3.0084826946258545"
"189.0";"3.5034148693084717"
"190.0";"3.484950304031372"
"191.0";"3.815824508666992"
"192.0";"3.8432719707489014"
"193.0";"4.186612606048584"
"194.0";"4.687002658843994"
"195.0";"4.628533840179443"
"196.0";"4.916418552398682"
"197.0";"5.446497440338135"
"198.0";"5.411230564117432"
"199.0";"5.4024529457092285"
"200.0";"6.365724086761475"
"201.0";"6.508459568023682"
"202.0";"6.108423709869385"
"203.0";"6.422374725341797"
"204.0";"7.2135009765625"
"205.0";"7.219491481781006"
"206.0";"6.442476749420166"
"207.0";"6.65112829208374"
"208.0";"7.262290954589844"
"209.0";"7.4999680519104"
"210.0";"7.0724639892578125"
"211.0";"6.996534824371338"
"212.0";"7.111810207366943"
"213.0";"7.43689489364624"
"214.0";"7.487110137939453"
"215.0";"7.221724033355713"
"216.0";"7.075355529785156"
"217.0";"6.8853631019592285"
"218.0";"7.183943271636963"
"219.0";"7.251071929931641"
"220.0";"6.628469944000244"
"221.0";"6.987833499908447"
"222.0";"7.434164524078369"
"223.0";"7.467000484466553"
"224.0";"6.834041595458984"
"225.0";"6.717207431793213"
"226.0";"6.76990270614624"
"227.0";"7.109963893890381"
"228.0";"6.663734436035156"
"229.0";"7.031800746917725"
"230.0";"5.644447326660156"
"231.0";"5.687908172607422"
"232.0";"5.241125583648682"
"233.0";"6.031004428863525"
"234.0";"5.310253143310547"
"235.0";"5.162867069244385"
"236.0";"4.3873419761657715"
"237.0";"4.6191086769104"
"238.0";"4.307933330535889"
"239.0";"4.3554911613464355"
"240.0";"3.7778708934783936"
"241.0";"2.599189043045044"
"242.0";"3.8505332469940186"
"243.0";"3.704214096069336"
"244.0";"2.69476318359375"
"245.0";"2.0692050457000732"
"246.0";"2.4425811767578125"
"247.0";"1.4337246417999268"
"248.0";"1.99237060546875"
"249.0";"1.2349178791046143"
"250.0";"0.8814175128936768"
"251.0";"0.7728913426399231"
"252.0";"0.2720457911491394"
"253.0";"0.6940568685531616"
"254.0";"-0.6521949768066406"
"255.0";"-0.6675186157226562"
