Sample:float;Data:float
"0.0";"-887.2130737304688"
"1.0";"-914.6292724609375"
"2.0";"-934.8082885742188"
"3.0";"-901.0906372070312"
"4.0";"-948.0862426757812"
"5.0";"-831.303466796875"
"6.0";"-839.8421630859375"
"7.0";"-788.945556640625"
"8.0";"-850.8045654296875"
"9.0";"-754.8571166992188"
"10.0";"-774.8087158203125"
"11.0";"-926.4850463867188"
"12.0";"-840.4384155273438"
"13.0";"-748.281494140625"
"14.0";"-722.5955200195312"
"15.0";"-849.8195190429688"
"16.0";"-864.2001342773438"
"17.0";"-841.5502319335938"
"18.0";"-769.1778564453125"
"19.0";"-794.951904296875"
"20.0";"-689.7008056640625"
"21.0";"-854.26708984375"
"22.0";"-854.26708984375"
"23.0";"-860.3906860351562"
"24.0";"-669.8909912109375"
"25.0";"-751.7840576171875"
"26.0";"-902.8463745117188"
"27.0";"-968.3414306640625"
"28.0";"-701.120849609375"
"29.0";"-717.9461059570312"
"30.0";"-814.6400756835938"
"31.0";"-878.9488525390625"
"32.0";"-881.7848510742188"
"33.0";"-776.2442626953125"
"34.0";"-725.8623046875"
"35.0";"-784.6678466796875"
"36.0";"-841.3336791992188"
"37.0";"-788.89892578125"
"38.0";"-773.8829345703125"
"39.0";"-788.7449951171875"
"40.0";"-883.9179077148438"
"41.0";"-881.5886840820312"
"42.0";"-791.253173828125"
"43.0";"-728.1128540039062"
"44.0";"-942.76953125"
"45.0";"-943.479736328125"
"46.0";"-855.494873046875"
"47.0";"-793.996826171875"
"48.0";"-855.9361572265625"
"49.0";"-902.842529296875"
"50.0";"-939.60986328125"
"51.0";"-785.4974365234375"
"52.0";"-806.85302734375"
"53.0";"-932.4050903320312"
"54.0";"-990.2255859375"
"55.0";"-829.3936767578125"
"56.0";"-646.0560913085938"
"57.0";"-937.6651611328125"
"58.0";"-1038.5057373046875"
"59.0";"-1047.9342041015625"
"60.0";"-719.0919189453125"
"61.0";"-785.0245971679688"
"62.0";"-908.80419921875"
"63.0";"-1011.2083740234375"
"64.0";"-786.8723754882812"
"65.0";"-680.8234252929688"
"66.0";"-856.783935546875"
"67.0";"-934.8548583984375"
"68.0";"-903.08740234375"
"69.0";"-779.0919799804688"
"70.0";"-812.5916137695312"
"71.0";"-832.1785888671875"
"72.0";"-952.9053344726562"
"73.0";"-856.9635620117188"
"74.0";"-893.122802734375"
"75.0";"-867.4534912109375"
"76.0";"-956.9490966796875"
"77.0";"-923.8367309570312"
"78.0";"-902.8627319335938"
"79.0";"-902.425048828125"
"80.0";"-766.725341796875"
"81.0";"-789.5982666015625"
"82.0";"-1079.4915771484375"
"83.0";"-857.1558837890625"
"84.0";"-799.4933471679688"
"85.0";"-794.8961791992188"
"86.0";"-896.2953491210938"
"87.0";"-792.0902709960938"
"88.0";"-666.4659423828125"
"89.0";"-841.590576171875"
"90.0";"-934.7855224609375"
"91.0";"-813.0930786132812"
"92.0";"-652.1248779296875"
"93.0";"-721.9759521484375"
"94.0";"-934.4178466796875"
"95.0";"-894.9169921875"
"96.0";"-790.8258056640625"
