Sample:float;Data:float
"0.0";"-975.876708984375"
"1.0";"-825.0913696289062"
"2.0";"-879.7792358398438"
"3.0";"-966.7800903320312"
"4.0";"-980.230712890625"
"5.0";"-796.983642578125"
"6.0";"-879.7177734375"
"7.0";"-995.6122436523438"
"8.0";"-1015.2716064453125"
"9.0";"-895.6065063476562"
"10.0";"-841.4761962890625"
"11.0";"-920.845947265625"
"12.0";"-1028.1143798828125"
"13.0";"-954.0401611328125"
"14.0";"-894.3850708007812"
"15.0";"-954.4051513671875"
"16.0";"-1048.088623046875"
"17.0";"-978.22998046875"
"18.0";"-901.02587890625"
"19.0";"-939.419189453125"
"20.0";"-966.4599609375"
"21.0";"-916.9408569335938"
"22.0";"-928.5057983398438"
"23.0";"-951.4601440429688"
"24.0";"-934.0634765625"
"25.0";"-908.4524536132812"
"26.0";"-916.426025390625"
"27.0";"-985.9171752929688"
"28.0";"-915.8426513671875"
"29.0";"-883.8245849609375"
"30.0";"-986.5409545898438"
"31.0";"-978.1718139648438"
"32.0";"-883.92919921875"
"33.0";"-919.5885009765625"
"34.0";"-915.7744750976562"
"35.0";"-953.3624267578125"
"36.0";"-960.115234375"
"37.0";"-939.5580444335938"
"38.0";"-862.7888793945312"
"39.0";"-899.4771118164062"
"40.0";"-922.19189453125"
"41.0";"-917.115478515625"
"42.0";"-963.7731323242188"
"43.0";"-962.6235961914062"
"44.0";"-837.808349609375"
"45.0";"-844.079345703125"
"46.0";"-904.4691162109375"
"47.0";"-947.5343627929688"
"48.0";"-911.2561645507812"
"49.0";"-826.43603515625"
"50.0";"-804.8966674804688"
"51.0";"-889.96728515625"
"52.0";"-833.169677734375"
"53.0";"-779.4300537109375"
"54.0";"-823.1512451171875"
"55.0";"-786.1655883789062"
"56.0";"-797.196533203125"
"57.0";"-827.3981323242188"
"58.0";"-708.09228515625"
"59.0";"-749.590576171875"
"60.0";"-821.3406982421875"
"61.0";"-808.6467895507812"
"62.0";"-691.6603393554688"
"63.0";"-764.1314697265625"
"64.0";"-803.104736328125"
"65.0";"-776.2252807617188"
"66.0";"-725.1950073242188"
"67.0";"-758.3619384765625"
"68.0";"-772.3551025390625"
"69.0";"-754.1931762695312"
"70.0";"-759.5637817382812"
"71.0";"-779.1163940429688"
"72.0";"-806.9556884765625"
"73.0";"-707.5830078125"
"74.0";"-735.1587524414062"
"75.0";"-790.0128173828125"
"76.0";"-847.170166015625"
"77.0";"-855.0009765625"
"78.0";"-867.8784790039062"
"79.0";"-785.3291625976562"
"80.0";"-793.45166015625"
"81.0";"-914.665771484375"
"82.0";"-1021.3170166015625"
"83.0";"-789.5449829101562"
"84.0";"-804.23876953125"
"85.0";"-925.9793701171875"
"86.0";"-783.5013427734375"
"87.0";"-879.7177734375"
"88.0";"-860.9237670898438"
"89.0";"-885.6052856445312"
"90.0";"-917.4241943359375"
"91.0";"-762.5670166015625"
"92.0";"-893.5601196289062"
"93.0";"-1021.5684814453125"
"94.0";"-862.356201171875"
"95.0";"-827.6661376953125"
"96.0";"-910.2840576171875"
"97.0";"-1138.944091796875"
"98.0";"-810.8252563476562"
"99.0";"-734.5294189453125"
"100.0";"-767.6284790039062"
"101.0";"-1026.2315673828125"
"102.0";"-903.252197265625"
"103.0";"-801.6136474609375"
"104.0";"-792.3464965820312"
"105.0";"-939.9647827148438"
"106.0";"-849.1007690429688"
"107.0";"-911.9877319335938"
"108.0";"-829.8626708984375"
"109.0";"-956.877197265625"
"110.0";"-920.55810546875"
"111.0";"-917.7811889648438"
"112.0";"-792.8153076171875"
"113.0";"-844.0883178710938"
"114.0";"-917.2388916015625"
"115.0";"-905.6696166992188"
"116.0";"-853.5150146484375"
"117.0";"-854.8355102539062"
"118.0";"-870.7577514648438"
"119.0";"-815.531005859375"
"120.0";"-852.5574340820312"
"121.0";"-852.5574340820312"
"122.0";"-900.7146606445312"
"123.0";"-805.50341796875"
"124.0";"-777.0641479492188"
