Sample:float;Data:float
"0.0";"-657.5108032226562"
"1.0";"-770.6074829101562"
"2.0";"-811.4586181640625"
"3.0";"-842.673583984375"
"4.0";"-723.2709350585938"
"5.0";"-714.4400024414062"
"6.0";"-761.6959228515625"
"7.0";"-792.59716796875"
"8.0";"-696.2348022460938"
"9.0";"-736.987548828125"
"10.0";"-730.1246948242188"
"11.0";"-893.539794921875"
"12.0";"-672.0239868164062"
"13.0";"-743.646484375"
"14.0";"-828.2174072265625"
"15.0";"-684.1654663085938"
"16.0";"-718.2911987304688"
"17.0";"-615.690185546875"
"18.0";"-802.580078125"
"19.0";"-661.0633544921875"
"20.0";"-595.4312133789062"
"21.0";"-722.9615478515625"
"22.0";"-657.4440307617188"
"23.0";"-572.516845703125"
"24.0";"-824.3866577148438"
"25.0";"-705.1898193359375"
"26.0";"-702.9666748046875"
"27.0";"-789.03955078125"
"28.0";"-760.0355224609375"
"29.0";"-884.5430908203125"
"30.0";"-842.8350830078125"
"31.0";"-793.0149536132812"
"32.0";"-815.3233642578125"
"33.0";"-580.5570678710938"
"34.0";"-846.6129760742188"
"35.0";"-848.8228149414062"
"36.0";"-627.7626342773438"
"37.0";"-574.214599609375"
"38.0";"-838.66845703125"
"39.0";"-1069.5823974609375"
"40.0";"-501.7471923828125"
"41.0";"-665.5323486328125"
"42.0";"-650.1278076171875"
"43.0";"-994.8031005859375"
"44.0";"-709.70849609375"
"45.0";"-676.5965576171875"
"46.0";"-492.2803039550781"
"47.0";"-913.8092041015625"
"48.0";"-763.8466796875"
"49.0";"-552.08447265625"
"50.0";"-667.551513671875"
"51.0";"-901.8264770507812"
"52.0";"-895.21435546875"
"53.0";"-870.873291015625"
"54.0";"-730.4404296875"
"55.0";"-1001.2933959960938"
"56.0";"-792.9171142578125"
"57.0";"-706.2611083984375"
"58.0";"-887.8179931640625"
"59.0";"-989.7369384765625"
"60.0";"-594.1715087890625"
"61.0";"-647.3395385742188"
"62.0";"-996.3094482421875"
"63.0";"-548.804443359375"
"64.0";"-646.058349609375"
"65.0";"-671.5894775390625"
"66.0";"-803.368896484375"
"67.0";"-647.3840942382812"
"68.0";"-860.545166015625"
"69.0";"-814.8178100585938"
"70.0";"-600.6055908203125"
"71.0";"-902.792236328125"
"72.0";"-816.7078857421875"
"73.0";"-727.4117431640625"
"74.0";"-729.6516723632812"
"75.0";"-913.919677734375"
"76.0";"-663.9610595703125"
"77.0";"-724.9214477539062"
"78.0";"-693.2294311523438"
"79.0";"-710.7216796875"
"80.0";"-873.8556518554688"
"81.0";"-729.2500610351562"
"82.0";"-655.613525390625"
"83.0";"-769.5255126953125"
"84.0";"-776.2206420898438"
"85.0";"-731.7646484375"
"86.0";"-782.1856689453125"
"87.0";"-714.6494140625"
"88.0";"-711.7908935546875"
"89.0";"-879.200927734375"
"90.0";"-799.19140625"
"91.0";"-760.6671142578125"
"92.0";"-665.594970703125"
"93.0";"-791.319091796875"
"94.0";"-983.8414306640625"
"95.0";"-774.791015625"
"96.0";"-607.8966674804688"
"97.0";"-889.8404541015625"
"98.0";"-915.3439331054688"
"99.0";"-638.994873046875"
"100.0";"-820.49365234375"
"101.0";"-826.09228515625"
"102.0";"-699.2855224609375"
"103.0";"-684.1325073242188"
"104.0";"-968.5182495117188"
"105.0";"-658.0081176757812"
"106.0";"-558.7678833007812"
"107.0";"-736.9017333984375"
"108.0";"-892.572265625"
"109.0";"-615.414794921875"
