Sample:float;Data:float
"0.0";"-4.324514865875244"
"1.0";"-4.509228229522705"
"2.0";"-5.1953349113464355"
"3.0";"-6.996561527252197"
"4.0";"-7.8078179359436035"
"5.0";"-7.956100940704346"
"6.0";"-9.210230827331543"
"7.0";"-10.715853691101074"
"8.0";"-11.280497550964355"
"9.0";"-11.020570755004883"
"10.0";"-11.285381317138672"
"11.0";"-11.194777488708496"
"12.0";"-11.4252347946167"
"13.0";"-11.74831485748291"
"14.0";"-11.881436347961426"
"15.0";"-11.093826293945312"
"16.0";"-10.070938110351562"
"17.0";"-9.576934814453125"
"18.0";"-10.322518348693848"
"19.0";"-9.961220741271973"
"20.0";"-9.753320693969727"
"21.0";"-8.642362594604492"
"22.0";"-7.909767150878906"
"23.0";"-7.531358242034912"
"24.0";"-8.687945365905762"
"25.0";"-8.164461135864258"
"26.0";"-7.659915447235107"
"27.0";"-6.757989883422852"
"28.0";"-6.393308639526367"
"29.0";"-6.393875598907471"
"30.0";"-6.8081183433532715"
"31.0";"-6.347113132476807"
"32.0";"-5.748611927032471"
"33.0";"-5.681232929229736"
"34.0";"-5.612808704376221"
"35.0";"-5.005222797393799"
"36.0";"-4.933506488800049"
"37.0";"-5.098638534545898"
"38.0";"-5.030894756317139"
"39.0";"-4.132261276245117"
"40.0";"-4.102053165435791"
"41.0";"-4.3692474365234375"
"42.0";"-3.5609939098358154"
"43.0";"-3.365694761276245"
"44.0";"-3.5832126140594482"
"45.0";"-3.244373321533203"
"46.0";"-2.9341647624969482"
"47.0";"-1.9102758169174194"
"48.0";"-3.1141746044158936"
"49.0";"-2.871750593185425"
"50.0";"-1.67727530002594"
"51.0";"-2.192164182662964"
"52.0";"-2.2564945220947266"
"53.0";"-1.2712154388427734"
"54.0";"-1.8631216287612915"
"55.0";"-1.9506778717041016"
"56.0";"-1.7616010904312134"
"57.0";"-1.4906418323516846"
"58.0";"-1.646445631980896"
"59.0";"-1.7923418283462524"
"60.0";"-0.9775587320327759"
"61.0";"-0.8964347839355469"
"62.0";"-1.1686210632324219"
"63.0";"-0.3355019688606262"
"64.0";"-0.36577415466308594"
"65.0";"-0.282848984003067"
"66.0";"0.15625253319740295"
"67.0";"0.4854240417480469"
