Sample:float;Data:float
"0.0";"-799.4935913085938"
"1.0";"-825.9920654296875"
"2.0";"-528.9638061523438"
"3.0";"-662.61328125"
"4.0";"-650.9140014648438"
"5.0";"-725.6729736328125"
"6.0";"-824.3017578125"
"7.0";"-551.8118896484375"
"8.0";"-469.2330627441406"
"9.0";"-944.8343505859375"
"10.0";"-928.532470703125"
"11.0";"-911.35693359375"
"12.0";"-408.81463623046875"
"13.0";"-765.2071533203125"
"14.0";"-917.8379516601562"
"15.0";"-786.52734375"
"16.0";"-512.6654052734375"
"17.0";"-833.769287109375"
"18.0";"-846.9645385742188"
"19.0";"-615.76123046875"
"20.0";"-857.7318725585938"
"21.0";"-766.9675903320312"
"22.0";"-667.7734375"
"23.0";"-652.9588623046875"
"24.0";"-889.65234375"
"25.0";"-573.918701171875"
"26.0";"-765.0064697265625"
"27.0";"-515.1170654296875"
"28.0";"-578.9324340820312"
"29.0";"-718.44189453125"
"30.0";"-908.635009765625"
"31.0";"-722.6689453125"
"32.0";"-660.356201171875"
"33.0";"-798.0664672851562"
"34.0";"-972.717041015625"
"35.0";"-770.3678588867188"
"36.0";"-647.0638427734375"
"37.0";"-881.0360107421875"
"38.0";"-933.2598266601562"
"39.0";"-652.7687377929688"
"40.0";"-675.1402587890625"
"41.0";"-598.41845703125"
"42.0";"-933.4630126953125"
"43.0";"-790.2103271484375"
"44.0";"-841.2020263671875"
"45.0";"-841.2020263671875"
"46.0";"-944.2507934570312"
"47.0";"-928.12353515625"
"48.0";"-437.6351623535156"
"49.0";"-683.8974609375"
"50.0";"-1046.1998291015625"
"51.0";"-884.9899291992188"
"52.0";"-557.258544921875"
"53.0";"-676.6314697265625"
"54.0";"-917.7885131835938"
"55.0";"-755.4603881835938"
"56.0";"-655.1619262695312"
"57.0";"-695.356201171875"
"58.0";"-848.1025390625"
"59.0";"-781.915771484375"
"60.0";"-683.34619140625"
"61.0";"-751.0148315429688"
"62.0";"-657.2666015625"
"63.0";"-735.7747192382812"
"64.0";"-812.9432373046875"
"65.0";"-718.8382568359375"
"66.0";"-635.6891479492188"
"67.0";"-749.2178955078125"
"68.0";"-829.84521484375"
"69.0";"-757.8511962890625"
"70.0";"-735.0892333984375"
"71.0";"-759.95263671875"
"72.0";"-853.7979125976562"
