Sample:float;Data:float
"0.0";"0.6232599020004272"
"1.0";"0.515450119972229"
"2.0";"0.20852023363113403"
"3.0";"0.09033966064453125"
"4.0";"-0.14418856799602509"
"5.0";"-0.2233937531709671"
"6.0";"-0.34568849205970764"
"7.0";"-0.2196216583251953"
"8.0";"-0.7367388606071472"
"9.0";"-1.1374067068099976"
"10.0";"-1.1374067068099976"
"11.0";"-1.8569526672363281"
"12.0";"-1.8921769857406616"
"13.0";"-2.0926132202148438"
"14.0";"-2.0311596393585205"
"15.0";"-2.4388134479522705"
"16.0";"-2.7780864238739014"
"17.0";"-3.002802610397339"
"18.0";"-2.8307063579559326"
"19.0";"-3.3991737365722656"
"20.0";"-3.463470458984375"
"21.0";"-3.9655234813690186"
"22.0";"-4.039387226104736"
"23.0";"-4.700736999511719"
"24.0";"-4.71645975112915"
"25.0";"-5.062514781951904"
"26.0";"-5.341503143310547"
"27.0";"-5.9883294105529785"
"28.0";"-6.179300308227539"
"29.0";"-6.247925281524658"
"30.0";"-6.696104526519775"
"31.0";"-7.36147928237915"
"32.0";"-7.328664302825928"
"33.0";"-7.520130634307861"
"34.0";"-7.525919437408447"
"35.0";"-7.7497382164001465"
"36.0";"-7.827808380126953"
"37.0";"-7.66448450088501"
"38.0";"-8.107014656066895"
"39.0";"-8.200179100036621"
"40.0";"-7.773857593536377"
"41.0";"-7.629331111907959"
"42.0";"-8.285274505615234"
"43.0";"-7.989999294281006"
"44.0";"-7.743052005767822"
"45.0";"-7.821416854858398"
"46.0";"-8.051019668579102"
"47.0";"-7.497228622436523"
"48.0";"-7.637092113494873"
"49.0";"-7.308475971221924"
"50.0";"-7.794002056121826"
"51.0";"-6.921024799346924"
"52.0";"-6.983214855194092"
"53.0";"-6.4013142585754395"
"54.0";"-6.92637300491333"
"55.0";"-6.2272419929504395"
"56.0";"-6.294566631317139"
"57.0";"-5.775913715362549"
"58.0";"-5.887054920196533"
"59.0";"-5.411176681518555"
"60.0";"-5.193141460418701"
"61.0";"-4.873520374298096"
"62.0";"-4.915869235992432"
"63.0";"-4.371488094329834"
"64.0";"-4.220456600189209"
"65.0";"-3.798262357711792"
"66.0";"-3.5754013061523438"
"67.0";"-2.782463550567627"
"68.0";"-2.5962677001953125"
"69.0";"-3.1588211059570312"
"70.0";"-2.1098124980926514"
"71.0";"-1.914145827293396"
"72.0";"-1.0780773162841797"
"73.0";"-1.1943823099136353"
"74.0";"-0.866967499256134"
"75.0";"-1.0503698587417603"
"76.0";"-0.6564019322395325"
"77.0";"-0.548988938331604"
"78.0";"-0.2310078889131546"
"79.0";"0.023472458124160767"
"80.0";"0.3355369567871094"
"81.0";"0.24827447533607483"
"82.0";"0.5709127187728882"
"83.0";"0.42196083068847656"
"84.0";"1.1524925231933594"
"85.0";"1.799072265625"
"86.0";"1.8586475849151611"
"87.0";"1.7960561513900757"
"88.0";"2.67760968208313"
"89.0";"2.67760968208313"
"90.0";"2.662487030029297"
"91.0";"2.9345600605010986"
"92.0";"2.6111385822296143"
"93.0";"3.490755796432495"
"94.0";"3.7884433269500732"
"95.0";"5.035813808441162"
"96.0";"3.534534454345703"
"97.0";"4.8493828773498535"
"98.0";"4.92510986328125"
"99.0";"5.493483066558838"
"100.0";"5.426064968109131"
"101.0";"5.987954616546631"
"102.0";"6.444929599761963"
"103.0";"6.74261999130249"
"104.0";"6.955894470214844"
"105.0";"7.196263790130615"
"106.0";"7.226278781890869"
"107.0";"7.995378017425537"
"108.0";"7.3260040283203125"
"109.0";"8.108660697937012"
"110.0";"7.695504665374756"
"111.0";"8.179059028625488"
"112.0";"7.535115718841553"
"113.0";"8.006528854370117"
"114.0";"8.199633598327637"
"115.0";"8.76918888092041"
"116.0";"8.454706192016602"
"117.0";"8.11608600616455"
"118.0";"8.194615364074707"
"119.0";"7.977102279663086"
"120.0";"8.05854320526123"
"121.0";"7.9962477684021"
"122.0";"7.731088161468506"
"123.0";"7.77379035949707"
"124.0";"7.813177585601807"
"125.0";"7.236213684082031"
"126.0";"7.246205806732178"
"127.0";"7.390602111816406"
"128.0";"7.313989162445068"
"129.0";"6.363688945770264"
"130.0";"6.304252624511719"
"131.0";"6.444208145141602"
"132.0";"6.489527225494385"
"133.0";"5.824550151824951"
"134.0";"5.362382411956787"
"135.0";"5.483211517333984"
"136.0";"5.362843036651611"
"137.0";"4.9008965492248535"
"138.0";"4.537047863006592"
"139.0";"4.332700729370117"
"140.0";"4.215246200561523"
"141.0";"3.477079391479492"
"142.0";"3.5110244750976562"
"143.0";"3.1847991943359375"
"144.0";"2.7503249645233154"
"145.0";"2.308558702468872"
"146.0";"1.9583173990249634"
"147.0";"1.8023998737335205"
"148.0";"1.494444489479065"
"149.0";"1.212188720703125"
"150.0";"0.9145533442497253"
"151.0";"0.36060333251953125"
"152.0";"0.5290628671646118"
"153.0";"-0.026603057980537415"
"154.0";"-0.022553127259016037"
"155.0";"-0.2857615053653717"
"156.0";"-0.2919095456600189"
"157.0";"-0.2103595733642578"
"158.0";"-0.44020527601242065"
"159.0";"-0.5677573084831238"
"160.0";"-1.3651676177978516"
"161.0";"-1.5608831644058228"
"162.0";"-1.663511872291565"
"163.0";"-1.8106155395507812"
"164.0";"-2.2382545471191406"
"165.0";"-2.2883098125457764"
"166.0";"-2.4049911499023438"
"167.0";"-2.7555339336395264"
"168.0";"-2.978646755218506"
"169.0";"-2.9529101848602295"
"170.0";"-3.4678115844726562"
"171.0";"-3.1098556518554688"
"172.0";"-4.44347620010376"
"173.0";"-4.782266616821289"
"174.0";"-4.0276007652282715"
"175.0";"-4.701905727386475"
"176.0";"-5.500407695770264"
"177.0";"-6.158611297607422"
"178.0";"-6.04718017578125"
"179.0";"-6.159891128540039"
"180.0";"-6.4386887550354"
"181.0";"-7.308454990386963"
"182.0";"-7.313706874847412"
"183.0";"-7.509060382843018"
"184.0";"-7.41374397277832"
"185.0";"-7.924283504486084"
"186.0";"-7.881384372711182"
"187.0";"-7.54735803604126"
"188.0";"-7.766611099243164"
"189.0";"-8.39905071258545"
"190.0";"-7.9294657707214355"
