,q0p1500,,q1500p0,,q1000p1000,
,ativo,reativo,ativo,reativo,ativo,reativo
AARC,,,,,,
0.1818,32214,25562,37048,40509,31612,35919
0.3333,35769,32981,30771,26340,36363,33196
0.5714,45121,47658,49377,50173,40527,45043
,,,,,,
APOC,,,,,,
0.1818,32069,35604,30629,34547,36359,39450
0.3333,26099,31156,30405,34517,32057,30632
0.5714,46558,53713,49951,42627,53786,46284
,,,,,,
BPSC,,,,,,
0.1818,32381,26335,26347,29958,30173,23393
0.3333,28496,27683,28671,31769,31536,32751
0.5714,41422,38710,22719,24135,47665,44200
,,,,,,
PNSC,,,,,,
0.1818,29751,38789,30860,16647,28743,28134
0.3333,24988,27773,37785,29872,26702,29881
0.5714,31991,30031,34478,30198,37870,31618
,,,,,,
RPOC,,,,,,
0.1818,36198,27772,28901,34332,39908,35863
0.3333,28826,34244,34477,32943,31994,31158
0.5714,51457,44210,44750,56313,47009,54019
,,,,,,
